anno,PROVINCIA,COMUNE,ISTAT_COD,ISTAT_RER,ISTAT_PROV,ISTAT_COM,LATITUDE,LONGITUDE,Abitanti,RD(kg),RI(kg),RU(kg),RD(%),RI(kg/ab),RU(kg/ab)
2017,PC,Agazzano,08033001,08,033,001,44.96707,9.50203,2060,804612,390540,1195152,67.3%,190,580
2019,PC,Agazzano,08033001,08,033,001,44.96707,9.50203,2008,983077,354920,1337997,73.5%,177,666
2020,PC,Agazzano,08033001,08,033,001,44.96707,9.50203,1989,960428,349170,1309598,73.3%,176,658
2018,PC,Agazzano,0803301,08,033,01,44.96707,9.50203,2034,927281,338650,1265931,73.2%,166,622
2017,PR,Albareto,08034001,08,034,001,44.43435,9.70032,2159,271690,704320,976010,27.8%,326,452
2019,PR,Albareto,08034001,08,034,001,44.43435,9.70032,2126,364592,707320,1071912,34.0%,333,504
2020,PR,Albareto,08034001,08,034,001,44.43435,9.70032,2128,476144,700660,1176804,40.5%,329,553
2018,PR,Albareto,0803401,08,034,01,44.43435,9.70032,2143,315196,748320,1063516,29.6%,349,496
2017,RE,Albinea,08035001,08,035,001,44.60873,10.61315,8825,5167697,1875410,7043107,73.4%,213,798
2019,RE,Albinea,08035001,08,035,001,44.60873,10.61315,8839,6508151,2416450,8924601,72.9%,273,"1,010"
2020,RE,Albinea,08035001,08,035,001,44.60873,10.61315,8786,7008845,640350,7649195,91.6%,73,871
2018,RE,Albinea,0803501,08,035,01,44.60873,10.61315,8826,5832781,2101030,7933811,73.5%,238,899
2017,RA,Alfonsine,08039001,08,039,001,44.54469,12.00321,11971,4398606,2688060,7086666,62.1%,225,592
2019,RA,Alfonsine,08039001,08,039,001,44.54469,12.00321,11824,5317712,2979190,8296902,64.1%,252,702
2020,RA,Alfonsine,08039001,08,039,001,44.54469,12.00321,11686,4905133,3113930,8019063,61.2%,266,686
2018,RA,Alfonsine,0803901,08,039,01,44.54469,12.00321,11948,4907366,2851295,7758661,63.3%,239,649
2017,PC,Alseno,08033002,08,033,002,44.88749,9.96251,4696,1659151,968040,2627191,63.2%,206,559
2019,PC,Alseno,08033002,08,033,002,44.88749,9.96251,4706,1924756,969200,2893956,66.5%,206,615
2020,PC,Alseno,08033002,08,033,002,44.88749,9.96251,4687,1987269,878960,2866229,69.3%,188,612
2018,PC,Alseno,0803302,08,033,02,44.88749,9.96251,4709,1925987,931600,2857587,67.4%,198,607
2018,PC,Alta Val Tidone,08033049,08,033,049,44.90746,9.33935,3014,1100170,811966,1912136,57.5%,269,634
