Anno;Raccolta differenziata: incidenza sulla produzione totale RSU;Centro Storico;Savena;Navile;Borgo Panigale- Reno;Porto-Saragozza; Santo Stefano; San Donato San Vitale;FONTE;NOTE
2006;31;;;;;;;;HERA;
2007;32;;;;;;;;HERA;
2010;34,8;;;;;;;;HERA;
2011;35,3;18,2;;;;;;;HERA;
2012;35,4;20,4;;;;;;;HERA;
2014;41;29,4;46,7;;;;;;HERA;
2015;44,9;41,3;57,6;;;;;;HERA;
2019;54,2;67,2;70,5;46,22;48,3;48,4;52,2;48,8;HERA;
2005;29;;;;;;;;HERA;
2008;33,8;;;;;;;;HERA;
2009;33,8;;;;;;;;HERA;
2016;45,9;46,4;60,1;;;;;;HERA;
2017;48,2;50,1;61,5;;;;;;HERA;
2013;39;25,5;45,1;;;;;;HERA;
2018;52,9;62,2;63,9;;;;;;HERA;
2020;55;71,2;75,7;46;48,6;48,9;54,8;47,2;HERA;
